series,Lab,Manufacturer,Device,Report,Power [W],Case Temperature,Ambient Temperature,Drive Current,Relative Humidity,Vf [V],phi [lm],0,168,480,489,490,500,504,505,510,513,514,524,541,549,1000,1004,1006,1008,1020,1021,1025,1044,1052,1053,1512,1698,1710,1711,1712,1718,1719,1721,1722,1744,1745,1800,1801,1974,2000,2016,2354,2355,2380,2386,2388,2389,2400,2401,2402,2520,2944,3000,3024,3049,3115,3116,3124,3125,3127,3128,3142,3173,3174,3226,3528,3766,3768,3769,3770,3802,3803,3810,3812,3813,3815,3830,3839,3840,4000,4032,4480,4482,4483,4484,4485,4493,4494,4501,4502,4503,4504,4505,4536,4545,4977,5000,5040,5184,5185,5210,5214,5216,5217,5218,5231,5233,5234,5236,5310,5311,5312,5544,6000,6014,6015,6025,6027,6028,6029,6041,6043,6044,6046,6048,6114,6115,6798,6800,6804,6805,6806,6807,6809,7000,7056,7601,7608,7610,7611,8000,8064,8436,8438,8440,8441,9000,9269,9270,9271,10000,10006,10008,10009,10100
1895,Cree Durham,Cree,XPEHEW,CLD-AP65,2.177,45.0,45.0,700,45,3.11,152.0,100,100.9,,,,,,,,,,,,,,,,102.7,,,,,,,101.3,,,,,,,,,,,,,,,101.5,,,,,,,,,,102.4,,,102.9,,,,,,,,,,,,103.3,,,,,,,,,,,,,,,102.9,,,,,,,,,,,,,102.1,,,,101.8,,,,,,,,,,,,,,,102.4,,,,,,,,,,,,101.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,Cree Durham,Cree,XPEHEW,CLD-AP65,2.177,45.0,45.0,700,45,3.11,174.0,100,100.4,,,,,,,,,,,,,,,,102.8,,,,,,,100.6,,,,,,,,,,,,,,,99.9,,,,,,,,,,100.1,,,100.6,,,,,,,,,,,,101.3,,,,,,,,,,,,,,,101.9,,,,,,,,,,,,,102.0,,,,101.4,,,,,,,,,,,,,,,101.6,,,,,,,,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,Cree Durham,Cree,XPEHEW,CLD-AP65,2.17,45.0,45.0,700,45,3.1,162.2,100,99.8,,,,,,,,,,,,,,,,100.9,,,,,,,100.1,,,,,,,,,,,,,,,99.9,,,,,,,,,,100.9,,,101.6,,,,,,,,,,,,102.1,,,,,,,,,,,,,,,102.1,,,,,,,,,,,,,101.6,,,,101.1,,,,,,,,,,,,,,,101.8,,,,,,,,,,,,102.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,Cree Durham,Cree,XPEHEW,CLD-AP65,2.177,45.0,45.0,700,45,3.11,172.4,100,97.3,,,,,,,,,,,,,,,,100.0,,,,,,,98.4,,,,,,,,,,,,,,,98.5,,,,,,,,,,99.1,,,99.4,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,100.2,,,,,,,,,,,,,100.1,,,,99.1,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Cree Durham,Cree,XPEHEW,CLD-AP65,2.177,45.0,45.0,700,45,3.11,164.0,100,100.1,,,,,,,,,,,,,,,,101.1,,,,,,,99.9,,,,,,,,,,,,,,,99.9,,,,,,,,,,101.4,,,101.6,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,102.4,,,,,,,,,,,,,102.4,,,,101.5,,,,,,,,,,,,,,,101.5,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,Cree Durham,Cree,XPEHEW,CLD-AP65,2.184,45.0,45.0,700,45,3.12,156.1,100,100.6,,,,,,,,,,,,,,,,103.2,,,,,,,101.5,,,,,,,,,,,,,,,101.2,,,,,,,,,,102.0,,,102.8,,,,,,,,,,,,103.1,,,,,,,,,,,,,,,103.5,,,,,,,,,,,,,103.8,,,,102.6,,,,,,,,,,,,,,,102.9,,,,,,,,,,,,103.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,Cree Durham,Cree,XPEHEW,CLD-AP65,2.205,45.0,45.0,700,45,3.15,168.5,100,100.8,,,,,,,,,,,,,,,,101.8,,,,,,,101.3,,,,,,,,,,,,,,,100.5,,,,,,,,,,100.2,,,101.5,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,100.8,,,,,,,,,,,,,101.1,,,,99.7,,,,,,,,,,,,,,,100.7,,,,,,,,,,,,99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,Cree Durham,Cree,XPEHEW,CLD-AP65,2.198,45.0,45.0,700,45,3.14,158.3,100,100.7,,,,,,,,,,,,,,,,102.4,,,,,,,101.4,,,,,,,,,,,,,,,100.9,,,,,,,,,,100.8,,,101.9,,,,,,,,,,,,101.2,,,,,,,,,,,,,,,101.0,,,,,,,,,,,,,101.6,,,,99.6,,,,,,,,,,,,,,,101.3,,,,,,,,,,,,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,Cree Durham,Cree,XPEHEW,CLD-AP65,2.226,45.0,45.0,700,45,3.18,176.9,100,100.1,,,,,,,,,,,,,,,,100.3,,,,,,,99.4,,,,,,,,,,,,,,,98.9,,,,,,,,,,98.9,,,100.6,,,,,,,,,,,,99.8,,,,,,,,,,,,,,,99.3,,,,,,,,,,,,,99.6,,,,98.1,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,Cree Durham,Cree,XPEHEW,CLD-AP65,2.219,45.0,45.0,700,45,3.17,164.5,100,100.0,,,,,,,,,,,,,,,,100.4,,,,,,,99.5,,,,,,,,,,,,,,,99.4,,,,,,,,,,99.5,,,100.5,,,,,,,,,,,,99.8,,,,,,,,,,,,,,,99.7,,,,,,,,,,,,,100.2,,,,98.7,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,97.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
